number,score1,score2,diff,win,turn_score_1
22562,5,39,34,,23
22660,5,40,35,,23
22758,5,41,36,,23
22856,5,42,37,,23
22955,5,43,38,,24
23053,5,44,39,,24
23151,5,45,40,,24
23249,5,46,41,,24
23347,5,47,42,,24
23445,5,48,43,,24
23543,5,49,44,,24
23642,5,50,45,,25
23740,5,51,46,,25
23838,5,52,47,,25
23936,5,53,48,,25
24034,5,54,49,,25
24133,5,55,50,,26
24231,5,56,51,,26
24329,5,57,52,,26
24427,5,58,53,,26
24525,5,59,54,,26
24623,5,60,55,,26
24721,5,61,56,,26
24819,5,62,57,,26
24918,5,63,58,,27
25016,5,64,59,,27
25115,5,65,60,,28
25213,5,66,61,,28
25312,5,67,62,,29
25411,5,68,63,,30
25509,5,69,64,,30
25607,5,70,65,,30
25706,5,71,66,,31
25804,5,72,67,,31
25902,5,73,68,,31
25999,5,74,69,,30
26095,5,75,70,,28
26192,5,76,71,,27
26288,5,77,72,,25
26384,5,78,73,,23
26481,5,79,74,,22
26578,5,80,75,,21
26684,5,81,76,,29
26783,5,82,77,,30
26882,5,83,78,,31
26981,5,84,79,,32
27080,5,85,80,,33
27240,5,86,81,1,95
27338,5,87,82,1,95
27436,5,88,83,1,95
27534,5,89,84,1,95
27632,5,90,85,1,95
27730,5,91,86,1,95
27828,5,92,87,1,95
27926,5,93,88,1,95
28024,5,94,89,1,95
28122,5,95,90,1,95
28220,5,96,91,1,95
28318,5,97,92,1,95
28416,5,98,93,1,95
28514,5,99,94,1,95
28537,6,0,-6,,20
28635,6,4,-2,,20
28733,6,5,-1,,20
28831,6,6,0,,20
28929,6,7,1,,20
29027,6,8,2,,20
29125,6,9,3,,20
29223,6,10,4,,20
29322,6,11,5,,21
29420,6,12,6,,21
29518,6,13,7,,21
29616,6,14,8,,21
29714,6,15,9,,21
29812,6,16,10,,21
29910,6,17,11,,21
30008,6,18,12,,21
30106,6,19,13,,21
30204,6,20,14,,21
30302,6,21,15,,21
30400,6,22,16,,21
30499,6,23,17,,22
30597,6,24,18,,22
30695,6,25,19,,22
30793,6,26,20,,22
30891,6,27,21,,22
30989,6,28,22,,22
31087,6,29,23,,22
31185,6,30,24,,22
31283,6,31,25,,22
31381,6,32,26,,22
31480,6,33,27,,23
31578,6,34,28,,23
31676,6,35,29,,23
31774,6,36,30,,23
31872,6,37,31,,23
31970,6,38,32,,23
32068,6,39,33,,23
32166,6,40,34,,23
32264,6,41,35,,23
32362,6,42,36,,23
32460,6,43,37,,23
32558,6,44,38,,23
32657,6,45,39,,24
32755,6,46,40,,24
32853,6,47,41,,24
32951,6,48,42,,24
33049,6,49,43,,24
33147,6,50,44,,24
33246,6,51,45,,25
33344,6,52,46,,25
33442,6,53,47,,25
33540,6,54,48,,25
33638,6,55,49,,25
33737,6,56,50,,26
33835,6,57,51,,26
33933,6,58,52,,26
34031,6,59,53,,26
34129,6,60,54,,26
34227,6,61,55,,26
34325,6,62,56,,26
34424,6,63,57,,27
34522,6,64,58,,27
34621,6,65,59,,28
34719,6,66,60,,28
34818,6,67,61,,29
34917,6,68,62,,30
35015,6,69,63,,30
35113,6,70,64,,30
35212,6,71,65,,31
35310,6,72,66,,31
35407,6,73,67,,30
35504,6,74,68,,29
35601,6,75,69,,28
35697,6,76,70,,26
35793,6,77,71,,24
35890,6,78,72,,23
35986,6,79,73,,21
36091,6,80,74,,28
36190,6,81,75,,29
36289,6,82,76,,30
36388,6,83,77,,31
36488,6,84,78,,33
36587,6,85,79,,34
36745,6,86,80,1,94
36843,6,87,81,1,94
36941,6,88,82,1,94
37039,6,89,83,1,94
37137,6,90,84,1,94
37235,6,91,85,1,94
37333,6,92,86,1,94
37431,6,93,87,1,94
37529,6,94,88,1,94
37627,6,95,89,1,94
37725,6,96,90,1,94
37823,6,97,91,1,94
37921,6,98,92,1,94
38019,6,99,93,1,94
38043,7,0,-7,,20
38141,7,4,-3,,20
38239,7,5,-2,,20
38337,7,6,-1,,20
38435,7,7,0,,20
38533,7,8,1,,20
38631,7,9,2,,20
38729,7,10,3,,20
38827,7,11,4,,20
38925,7,12,5,,20
39024,7,13,6,,21
39122,7,14,7,,21
39220,7,15,8,,21
39318,7,16,9,,21
39416,7,17,10,,21
39514,7,18,11,,21
39612,7,19,12,,21
39710,7,20,13,,21
39808,7,21,14,,21
39906,7,22,15,,21
40004,7,23,16,,21
40102,7,24,17,,21
40201,7,25,18,,22
40299,7,26,19,,22
40397,7,27,20,,22
40495,7,28,21,,22
40593,7,29,22,,22
40691,7,30,23,,22
40789,7,31,24,,22
40887,7,32,25,,22
40985,7,33,26,,22
41083,7,34,27,,22
41182,7,35,28,,23
41280,7,36,29,,23
41378,7,37,30,,23
41476,7,38,31,,23
41574,7,39,32,,23
41672,7,40,33,,23
41770,7,41,34,,23
41868,7,42,35,,23
41966,7,43,36,,23
42064,7,44,37,,23
42162,7,45,38,,23
42261,7,46,39,,24
42359,7,47,40,,24
42457,7,48,41,,24
42555,7,49,42,,24
42653,7,50,43,,24
42752,7,51,44,,25
42850,7,52,45,,25
42948,7,53,46,,25
43046,7,54,47,,25
43144,7,55,48,,25
43242,7,56,49,,25
43341,7,57,50,,26
43439,7,58,51,,26
43537,7,59,52,,26
43635,7,60,53,,26
43733,7,61,54,,26
43831,7,62,55,,26
43930,7,63,56,,27
44028,7,64,57,,27
44127,7,65,58,,28
44225,7,66,59,,28
44324,7,67,60,,29
44423,7,68,61,,30
44521,7,69,62,,30
44619,7,70,63,,30
44718,7,71,64,,31
44815,7,72,65,,30
44913,7,73,66,,30
45009,7,74,67,,28
45106,7,75,68,,27
45202,7,76,69,,25
45299,7,77,70,,24
45395,7,78,71,,22
45492,7,79,72,,21
45597,7,80,73,,28
45696,7,81,74,,29
45795,7,82,75,,30
45895,7,83,76,,32
45994,7,84,77,,33
46093,7,85,78,,34
46250,7,86,79,1,93
46348,7,87,80,1,93
46446,7,88,81,1,93
46544,7,89,82,1,93
46642,7,90,83,1,93
46740,7,91,84,1,93
46838,7,92,85,1,93
46936,7,93,86,1,93
47034,7,94,87,1,93
47132,7,95,88,1,93
47230,7,96,89,1,93
47328,7,97,90,1,93
47426,7,98,91,1,93
47524,7,99,92,1,93
47549,8,0,-8,,20
47647,8,4,-4,,20
47745,8,5,-3,,20
47843,8,6,-2,,20
47941,8,7,-1,,20
48039,8,8,0,,20
48137,8,9,1,,20
48235,8,10,2,,20
48333,8,11,3,,20
48431,8,12,4,,20
48529,8,13,5,,20
48627,8,14,6,,20
48726,8,15,7,,21
48824,8,16,8,,21
48922,8,17,9,,21
49020,8,18,10,,21
49118,8,19,11,,21
49216,8,20,12,,21
49314,8,21,13,,21
49412,8,22,14,,21
49510,8,23,15,,21
49608,8,24,16,,21
49706,8,25,17,,21
49805,8,26,18,,22
49903,8,27,19,,22
50001,8,28,20,,22
50099,8,29,21,,22
50197,8,30,22,,22
50295,8,31,23,,22
50393,8,32,24,,22
50491,8,33,25,,22
50589,8,34,26,,22
50687,8,35,27,,22
50785,8,36,28,,22
50884,8,37,29,,23
50982,8,38,30,,23
51080,8,39,31,,23
51178,8,40,32,,23
51276,8,41,33,,23
51374,8,42,34,,23
51472,8,43,35,,23
51570,8,44,36,,23
51668,8,45,37,,23
51766,8,46,38,,23
51865,8,47,39,,24
51963,8,48,40,,24
52061,8,49,41,,24
52159,8,50,42,,24
52257,8,51,43,,24
52356,8,52,44,,25
52454,8,53,45,,25
52552,8,54,46,,25
52650,8,55,47,,25
52748,8,56,48,,25
52846,8,57,49,,25
52944,8,58,50,,25
53043,8,59,51,,26
53141,8,60,52,,26
53239,8,61,53,,26
53337,8,62,54,,26
53436,8,63,55,,27
53534,8,64,56,,27
53633,8,65,57,,28
53732,8,66,58,,29
53830,8,67,59,,29
53929,8,68,60,,30
54027,8,69,61,,30
54125,8,70,62,,30
54223,8,71,63,,30
54321,8,72,64,,30
54418,8,73,65,,29
54515,8,74,66,,28
54611,8,75,67,,26
54708,8,76,68,,25
54804,8,77,69,,23
54901,8,78,70,,22
54998,8,79,71,,21
55104,8,80,72,,29
55203,8,81,73,,30
55302,8,82,74,,31
55401,8,83,75,,32
55500,8,84,76,,33
55601,8,85,77,,36
55755,8,86,78,1,92
55853,8,87,79,1,92
55951,8,88,80,1,92
56049,8,89,81,1,92
56147,8,90,82,1,92
56245,8,91,83,1,92
56343,8,92,84,1,92
56441,8,93,85,1,92
56539,8,94,86,1,92
56637,8,95,87,1,92
56735,8,96,88,1,92
56833,8,97,89,1,92
56931,8,98,90,1,92
57029,8,99,91,1,92
57054,9,0,-9,,19
57153,9,4,-5,,20
57251,9,5,-4,,20
57349,9,6,-3,,20
57447,9,7,-2,,20
57545,9,8,-1,,20
57643,9,9,0,,20
57741,9,10,1,,20
57839,9,11,2,,20
57937,9,12,3,,20
58035,9,13,4,,20
58133,9,14,5,,20
58231,9,15,6,,20
58330,9,16,7,,21
58428,9,17,8,,21
58526,9,18,9,,21
58624,9,19,10,,21
58722,9,20,11,,21
58820,9,21,12,,21
58918,9,22,13,,21
59016,9,23,14,,21
59114,9,24,15,,21
59212,9,25,16,,21
59310,9,26,17,,21
59408,9,27,18,,21
59507,9,28,19,,22
59605,9,29,20,,22
59703,9,30,21,,22
59801,9,31,22,,22
59899,9,32,23,,22
59997,9,33,24,,22
60095,9,34,25,,22
60193,9,35,26,,22
60291,9,36,27,,22
60389,9,37,28,,22
60488,9,38,29,,23
60586,9,39,30,,23
60684,9,40,31,,23
60782,9,41,32,,23
60880,9,42,33,,23
60978,9,43,34,,23
61076,9,44,35,,23
61174,9,45,36,,23
61272,9,46,37,,23
61371,9,47,38,,24
61469,9,48,39,,24
61567,9,49,40,,24
61665,9,50,41,,24
61763,9,51,42,,24
61862,9,52,43,,25
61960,9,53,44,,25
62058,9,54,45,,25
62156,9,55,46,,25
62254,9,56,47,,25
62352,9,57,48,,25
62450,9,58,49,,25
62548,9,59,50,,25
62647,9,60,51,,26
62745,9,61,52,,26
62843,9,62,53,,26
62942,9,63,54,,27
63041,9,64,55,,28
63139,9,65,56,,28
63238,9,66,57,,29
63336,9,67,58,,29
63434,9,68,59,,29
63533,9,69,60,,30
63631,9,70,61,,30
63729,9,71,62,,30
63827,9,72,63,,30
63924,9,73,64,,29
64020,9,74,65,,27
64117,9,75,66,,26
64213,9,76,67,,24
64310,9,77,68,,23
64406,9,78,69,,21
64504,9,79,70,,21
64610,9,80,71,,29
64709,9,81,72,,30
64808,9,82,73,,31
64907,9,83,74,,32
65006,9,84,75,,33
65162,9,85,76,1,91
65260,9,86,77,1,91
65358,9,87,78,1,91
65456,9,88,79,1,91
65554,9,89,80,1,91
65652,9,90,81,1,91
65750,9,91,82,1,91
65848,9,92,83,1,91
65946,9,93,84,1,91
66044,9,94,85,1,91
66142,9,95,86,1,91
66240,9,96,87,1,91
66338,9,97,88,1,91
66436,9,98,89,1,91
66534,9,99,90,1,91
66560,10,0,-10,,19
66659,10,4,-6,,20
66757,10,5,-5,,20
66855,10,6,-4,,20
66953,10,7,-3,,20
67051,10,8,-2,,20
67149,10,9,-1,,20
67247,10,10,0,,20
67345,10,11,1,,20
67443,10,12,2,,20
67541,10,13,3,,20
67639,10,14,4,,20
67737,10,15,5,,20
67835,10,16,6,,20
67933,10,17,7,,20
68032,10,18,8,,21
68130,10,19,9,,21
68228,10,20,10,,21
68326,10,21,11,,21
68424,10,22,12,,21
68522,10,23,13,,21
68620,10,24,14,,21
68718,10,25,15,,21
68816,10,26,16,,21
68914,10,27,17,,21
69012,10,28,18,,21
69110,10,29,19,,21
69209,10,30,20,,22
69307,10,31,21,,22
69405,10,32,22,,22
69503,10,33,23,,22
69601,10,34,24,,22
69699,10,35,25,,22
69797,10,36,26,,22
69895,10,37,27,,22
69993,10,38,28,,22
70091,10,39,29,,22
70190,10,40,30,,23
70288,10,41,31,,23
70386,10,42,32,,23
70484,10,43,33,,23
70582,10,44,34,,23
70680,10,45,35,,23
70778,10,46,36,,23
70876,10,47,37,,23
70975,10,48,38,,24
71073,10,49,39,,24
71171,10,50,40,,24
71269,10,51,41,,24
71367,10,52,42,,24
71466,10,53,43,,25
71564,10,54,44,,25
71662,10,55,45,,25
71760,10,56,46,,25
71858,10,57,47,,25
71956,10,58,48,,25
72054,10,59,49,,25
72153,10,60,50,,26
72251,10,61,51,,26
72349,10,62,52,,26
72448,10,63,53,,27
72547,10,64,54,,28
72645,10,65,55,,28
72744,10,66,56,,29
72842,10,67,57,,29
72940,10,68,58,,29
73039,10,69,59,,30
73137,10,70,60,,30
73235,10,71,61,,30
73332,10,72,62,,29
73429,10,73,63,,28
73526,10,74,64,,27
73622,10,75,65,,25
73718,10,76,66,,23
73815,10,77,67,,22
73912,10,78,68,,21
74017,10,79,69,,28
74116,10,80,70,,29
74215,10,81,71,,30
74314,10,82,72,,31
74413,10,83,73,,32
74513,10,84,74,,34
74667,10,85,75,1,90
74765,10,86,76,1,90
74863,10,87,77,1,90
74961,10,88,78,1,90
75059,10,89,79,1,90
75157,10,90,80,1,90
75255,10,91,81,1,90
75353,10,92,82,1,90
75451,10,93,83,1,90
75549,10,94,84,1,90
75647,10,95,85,1,90
75745,10,96,86,1,90
75843,10,97,87,1,90
75941,10,98,88,1,90
76039,10,99,89,1,90
76066,11,0,-11,,19
76164,11,4,-7,,19
76262,11,5,-6,,19
76360,11,6,-5,,19
76459,11,7,-4,,20
76557,11,8,-3,,20
76655,11,9,-2,,20
76753,11,10,-1,,20
76851,11,11,0,,20
76949,11,12,1,,20
77047,11,13,2,,20
77145,11,14,3,,20
77243,11,15,4,,20
77341,11,16,5,,20
77439,11,17,6,,20
77537,11,18,7,,20
77636,11,19,8,,21
77734,11,20,9,,21
77832,11,21,10,,21
77930,11,22,11,,21
78028,11,23,12,,21
78126,11,24,13,,21
78224,11,25,14,,21
78322,11,26,15,,21
78420,11,27,16,,21
78518,11,28,17,,21
78616,11,29,18,,21
78714,11,30,19,,21
78813,11,31,20,,22
78911,11,32,21,,22
79009,11,33,22,,22
79107,11,34,23,,22
79205,11,35,24,,22
79303,11,36,25,,22
79401,11,37,26,,22
79499,11,38,27,,22
79597,11,39,28,,22
79695,11,40,29,,22
79793,11,41,30,,22
79892,11,42,31,,23
79990,11,43,32,,23
80088,11,44,33,,23
80186,11,45,34,,23
80284,11,46,35,,23
80382,11,47,36,,23
80481,11,48,37,,24
80579,11,49,38,,24
80677,11,50,39,,24
80775,11,51,40,,24
80873,11,52,41,,24
80971,11,53,42,,24
81070,11,54,43,,25
81168,11,55,44,,25
81266,11,56,45,,25
81364,11,57,46,,25
81462,11,58,47,,25
81560,11,59,48,,25
81659,11,60,49,,26
81757,11,61,50,,26
81856,11,62,51,,27
81954,11,63,52,,27
82053,11,64,53,,28
82151,11,65,54,,28
82250,11,66,55,,29
82348,11,67,56,,29
82446,11,68,57,,29
82545,11,69,58,,30
82643,11,70,59,,30
82740,11,71,60,,29
82837,11,72,61,,28
82934,11,73,62,,27
83031,11,74,63,,26
83127,11,75,64,,24
83224,11,76,65,,23
83320,11,77,66,,21
83417,11,78,67,,20
83524,11,79,68,,29
83622,11,80,69,,29
83721,11,81,70,,30
83821,11,82,71,,32
83920,11,83,72,,33
84019,11,84,73,,34
84172,11,85,74,1,89
84270,11,86,75,1,89
84368,11,87,76,1,89
84466,11,88,77,1,89
84564,11,89,78,1,89
84662,11,90,79,1,89
84760,11,91,80,1,89
84858,11,92,81,1,89
84956,11,93,82,1,89
85054,11,94,83,1,89
85152,11,95,84,1,89
85250,11,96,85,1,89
85348,11,97,86,1,89
85446,11,98,87,1,89
85544,11,99,88,1,89
85572,12,0,-12,,19
85670,12,4,-8,,19
85768,12,5,-7,,19
85866,12,6,-6,,19
85964,12,7,-5,,19
86062,12,8,-4,,19
86161,12,9,-3,,20
86259,12,10,-2,,20
86357,12,11,-1,,20
86455,12,12,0,,20
86553,12,13,1,,20
86651,12,14,2,,20
86749,12,15,3,,20
86847,12,16,4,,20
86945,12,17,5,,20
87043,12,18,6,,20
87141,12,19,7,,20
87239,12,20,8,,20
87338,12,21,9,,21
87436,12,22,10,,21
87534,12,23,11,,21
87632,12,24,12,,21
87730,12,25,13,,21
87828,12,26,14,,21
87926,12,27,15,,21
88024,12,28,16,,21
88122,12,29,17,,21
88220,12,30,18,,21
88318,12,31,19,,21
88416,12,32,20,,21
88515,12,33,21,,22
88613,12,34,22,,22
88711,12,35,23,,22
88809,12,36,24,,22
88907,12,37,25,,22
89005,12,38,26,,22
89103,12,39,27,,22
89201,12,40,28,,22
89299,12,41,29,,22
89397,12,42,30,,22
89496,12,43,31,,23
89594,12,44,32,,23
89692,12,45,33,,23
89790,12,46,34,,23
89888,12,47,35,,23
89986,12,48,36,,23
90085,12,49,37,,24
90183,12,50,38,,24
90281,12,51,39,,24
90379,12,52,40,,24
90477,12,53,41,,24
90575,12,54,42,,24
90674,12,55,43,,25
90772,12,56,44,,25
90870,12,57,45,,25
90968,12,58,46,,25
91066,12,59,47,,25
91165,12,60,48,,26
91263,12,61,49,,26
91362,12,62,50,,27
91460,12,63,51,,27
91559,12,64,52,,28
91657,12,65,53,,28
91756,12,66,54,,29
91854,12,67,55,,29
91952,12,68,56,,29
92050,12,69,57,,29
92148,12,70,58,,29
92246,12,71,59,,29
92343,12,72,60,,28
92440,12,73,61,,27
92536,12,74,62,,25
92633,12,75,63,,24
92729,12,76,64,,22
92826,12,77,65,,21
92924,12,78,66,,21
93030,12,79,67,,29
93129,12,80,68,,30
93228,12,81,69,,31
93327,12,82,70,,32
93426,12,83,71,,33
93525,12,84,72,,34
93677,12,85,73,1,88
93775,12,86,74,1,88
93873,12,87,75,1,88
93971,12,88,76,1,88
94069,12,89,77,1,88
94167,12,90,78,1,88
94265,12,91,79,1,88
94363,12,92,80,1,88
94461,12,93,81,1,88
94559,12,94,82,1,88
94657,12,95,83,1,88
94755,12,96,84,1,88
94853,12,97,85,1,88
94951,12,98,86,1,88
95049,12,99,87,1,88
95078,13,0,-13,,19
95176,13,4,-9,,19
95274,13,5,-8,,19
95372,13,6,-7,,19
95470,13,7,-6,,19
95568,13,8,-5,,19
95666,13,9,-4,,19
95765,13,10,-3,,20
95863,13,11,-2,,20
95961,13,12,-1,,20
96059,13,13,0,,20
96157,13,14,1,,20
96255,13,15,2,,20
96353,13,16,3,,20
96451,13,17,4,,20
96549,13,18,5,,20
96647,13,19,6,,20
96745,13,20,7,,20
96843,13,21,8,,20
96941,13,22,9,,20
97040,13,23,10,,21
97138,13,24,11,,21
97236,13,25,12,,21
97334,13,26,13,,21
97432,13,27,14,,21
97530,13,28,15,,21
97628,13,29,16,,21
97726,13,30,17,,21
97824,13,31,18,,21
97922,13,32,19,,21
98020,13,33,20,,21
98119,13,34,21,,22
98217,13,35,22,,22
98315,13,36,23,,22
98413,13,37,24,,22
98511,13,38,25,,22
98609,13,39,26,,22
98707,13,40,27,,22
98805,13,41,28,,22
98903,13,42,29,,22
99001,13,43,30,,22
99100,13,44,31,,23
99198,13,45,32,,23
99296,13,46,33,,23
99394,13,47,34,,23
99492,13,48,35,,23
99590,13,49,36,,23
99689,13,50,37,,24
99787,13,51,38,,24
99885,13,52,39,,24
99983,13,53,40,,24
100081,13,54,41,,24
100179,13,55,42,,24
100278,13,56,43,,25
100376,13,57,44,,25
100474,13,58,45,,25
100572,13,59,46,,25
100671,13,60,47,,26
100769,13,61,48,,26
100868,13,62,49,,27
100966,13,63,50,,27
101065,13,64,51,,28
101163,13,65,52,,28
101261,13,66,53,,28
101360,13,67,54,,29
101458,13,68,55,,29
101556,13,69,56,,29
101654,13,70,57,,29
101751,13,71,58,,28
101848,13,72,59,,27
101945,13,73,60,,26
102042,13,74,61,,25
102138,13,75,62,,23
102235,13,76,63,,22
102331,13,77,64,,20
102437,13,78,65,,28
102536,13,79,66,,29
102635,13,80,67,,30
102734,13,81,68,,31
102833,13,82,69,,32
102932,13,83,70,,33
103032,13,84,71,,35
103182,13,85,72,1,87
103280,13,86,73,1,87
103378,13,87,74,1,87
103476,13,88,75,1,87
103574,13,89,76,1,87
103672,13,90,77,1,87
103770,13,91,78,1,87
103868,13,92,79,1,87
103966,13,93,80,1,87
104064,13,94,81,1,87
104162,13,95,82,1,87
104260,13,96,83,1,87
104358,13,97,84,1,87
104456,13,98,85,1,87
104554,13,99,86,1,87
104584,14,0,-14,,19
104682,14,4,-10,,19
104780,14,5,-9,,19
104878,14,6,-8,,19
104976,14,7,-7,,19
105074,14,8,-6,,19
105172,14,9,-5,,19
105270,14,10,-4,,19
105368,14,11,-3,,19
105467,14,12,-2,,20
105565,14,13,-1,,20
105663,14,14,0,,20
105761,14,15,1,,20
105859,14,16,2,,20
105957,14,17,3,,20
106055,14,18,4,,20
106153,14,19,5,,20
106251,14,20,6,,20
106349,14,21,7,,20
106447,14,22,8,,20
106545,14,23,9,,20
106643,14,24,10,,20
106742,14,25,11,,21
106840,14,26,12,,21
106938,14,27,13,,21
107036,14,28,14,,21
107134,14,29,15,,21
107232,14,30,16,,21
107330,14,31,17,,21
107428,14,32,18,,21
107526,14,33,19,,21
107624,14,34,20,,21
107723,14,35,21,,22
107821,14,36,22,,22
107919,14,37,23,,22
108017,14,38,24,,22
108115,14,39,25,,22
108213,14,40,26,,22
108311,14,41,27,,22
108409,14,42,28,,22
108507,14,43,29,,22
108606,14,44,30,,23
108704,14,45,31,,23
108802,14,46,32,,23
108900,14,47,33,,23
108998,14,48,34,,23
109096,14,49,35,,23
109194,14,50,36,,23
109293,14,51,37,,24
109391,14,52,38,,24
109489,14,53,39,,24
109587,14,54,40,,24
109685,14,55,41,,24
109783,14,56,42,,24
109882,14,57,43,,25
109980,14,58,44,,25
110078,14,59,45,,25
110177,14,60,46,,26
110275,14,61,47,,26
110374,14,62,48,,27
110472,14,63,49,,27
110571,14,64,50,,28
110669,14,65,51,,28
110767,14,66,52,,28
110866,14,67,53,,29
110964,14,68,54,,29
111062,14,69,55,,29
111159,14,70,56,,28
111257,14,71,57,,28
111354,14,72,58,,27
111451,14,73,59,,26
111547,14,74,60,,24
111644,14,75,61,,23
111740,14,76,62,,21
111837,14,77,63,,20
111943,14,78,64,,28
112042,14,79,65,,29
112141,14,80,66,,30
